,Accuracy,Score
0,10.0,0.6521201133728027
1,75.66,0.738400936126709
2,68.62,0.7166509628295898
3,87.81,0.7274481058120728
4,81.68,0.7863373756408691
5,84.13,0.8019431829452515
6,77.82,0.7392903566360474
7,85.19,0.7979005575180054
8,73.65,0.6739652752876282
9,86.36,0.813164472579956
10,85.17,0.7940652370452881
11,70.88,0.6638723015785217
12,81.82,0.7835432291030884
13,81.55,0.8002206683158875
14,75.34,0.6855695247650146
15,83.9,0.7912490963935852
16,83.69,0.8112591505050659
17,74.08,0.7304372191429138
18,73.66,0.7672417163848877
19,71.85,0.6429231762886047
20,77.99,0.7152479887008667
21,78.69,0.6785379648208618
22,79.47,0.8173705339431763
23,54.72,0.6754125952720642
24,75.94,0.7004140615463257
25,80.75,0.7956101894378662
26,61.0,0.7054035663604736
27,72.23,0.681844174861908
28,76.45,0.7862377166748047
29,82.31,0.6851440072059631
30,84.15,0.7410948276519775
31,83.69,0.806926965713501
32,85.41,0.811894953250885
33,79.85,0.828996479511261
34,85.17,0.8064740896224976
35,82.1,0.7749336957931519
36,78.72,0.7913639545440674
37,84.39,0.8240481615066528
38,77.18,0.7543714046478271
39,75.75,0.7277200222015381
40,60.12,0.6922380924224854
41,83.97,0.7040509581565857
42,57.51,0.6703078746795654
43,85.06,0.7939554452896118
44,85.36,0.8146514892578125
45,85.48,0.8142843246459961
46,84.34,0.8024965524673462
47,78.82,0.8184318542480469
48,84.35,0.8039910793304443
49,84.71,0.8179013729095459
50,68.0,0.6487433910369873
51,88.02,0.7505194544792175
52,85.8,0.8059564828872681
53,53.4,0.7072083950042725
54,61.36,0.6611120700836182
55,83.8,0.8010103702545166
56,81.64,0.6940571069717407
57,69.73,0.6533578038215637
58,83.38,0.7933758497238159
59,70.05,0.6532925963401794
60,81.62,0.7115991115570068
61,70.99,0.6493476629257202
62,84.16,0.8258741497993469
63,78.77,0.6898871660232544
64,76.2,0.6389210820198059
65,72.97,0.6494165062904358
66,84.34,0.8211254477500916
67,84.57,0.7786746025085449
68,68.43,0.6520439386367798
69,87.15,0.7928489446640015
70,75.71,0.6967954635620117
71,75.32,0.6789384484291077
72,81.45,0.7898215651512146
73,78.51,0.681614875793457
74,88.6,0.7648714780807495
75,71.03,0.7618868350982666
76,71.9,0.6484739780426025
77,72.29,0.6594618558883667
78,79.19,0.810706377029419
79,75.45,0.8051683902740479
80,83.35,0.6878872513771057
81,59.81,0.6800822019577026
82,81.99,0.7708362340927124
83,78.51,0.6758589148521423
84,52.81,0.6694304943084717
85,88.01,0.7761414051055908
86,85.62,0.8079478740692139
87,84.21,0.8089243173599243
88,75.93,0.6322181224822998
89,78.04,0.6816433668136597
90,75.26,0.7006521224975586
91,81.82,0.7920404672622681
92,10.0,0.6507059335708618
93,61.71,0.6704307198524475
94,70.29,0.7120119333267212
95,10.0,0.6390683650970459
96,82.79,0.7827461957931519
97,87.37,0.7565267086029053
98,79.65,0.7191436290740967
99,79.9,0.8559491634368896
100,78.47,0.7068610191345215
101,85.8,0.7954100370407104
102,86.02,0.8480713963508606
103,82.51,0.7808851003646851
104,81.88,0.7402925491333008
105,84.85,0.7825603485107422
106,76.87,0.7210659980773926
107,80.71,0.8062021732330322
108,60.16,0.6977876424789429
109,83.51,0.6849483251571655
110,79.77,0.796859622001648
111,77.61,0.7977657318115234
112,62.25,0.6459733843803406
113,83.59,0.7963346242904663
114,79.58,0.8705727458000183
115,80.0,0.7935271263122559
116,83.81,0.692630410194397
117,87.11,0.6941691637039185
118,77.93,0.7414233684539795
119,78.47,0.7141063213348389
120,84.56,0.8150970935821533
121,79.54,0.6827857494354248
122,83.97,0.6933887004852295
123,87.56,0.7480764389038086
124,60.16,0.6798956990242004
125,74.71,0.7204642295837402
126,83.52,0.7610452175140381
127,79.83,0.7828705310821533
128,87.67,0.7827423810958862
129,83.05,0.7148236036300659
130,78.83,0.7191551327705383
131,85.06,0.8114469051361084
132,85.7,0.8096154928207397
133,78.09,0.7235085964202881
134,87.26,0.7499479055404663
135,41.49,0.6374143362045288
136,61.84,0.6711173057556152
137,50.25,0.635987401008606
138,79.03,0.7036921977996826
139,54.75,0.6707390546798706
140,83.21,0.8173065185546875
141,83.23,0.7948528528213501
142,69.82,0.6677680015563965
143,85.44,0.8064669370651245
144,84.34,0.8026055097579956
145,82.23,0.7898354530334473
146,76.65,0.8056670427322388
147,82.4,0.7267038226127625
148,77.61,0.7883819937705994
149,86.1,0.7152464985847473
150,84.48,0.7791783809661865
151,83.94,0.7941757440567017
152,85.64,0.7990700602531433
153,82.27,0.8089585304260254
154,80.21,0.7450573444366455
155,69.29,0.7019798755645752
156,82.18,0.7795580625534058
157,87.52,0.7694469094276428
158,76.1,0.6978805065155029
159,77.66,0.8243318796157837
160,78.99,0.8048397302627563
161,75.22,0.8123149871826172
162,74.24,0.8302639722824097
163,76.63,0.7299375534057617
164,67.43,0.723878026008606
165,86.38,0.7980438470840454
166,88.08,0.7163254618644714
167,77.48,0.8277193307876587
168,81.4,0.7377920150756836
169,86.83,0.7695902585983276
170,10.0,0.6466647982597351
171,84.34,0.7978419065475464
172,10.0,0.6457902193069458
