,Accuracy,Score
0,82.13,4.767132595369851
1,71.57,4.796935201232816
2,81.82,5.222248576712593
3,64.91,3.216921193915559
4,74.95,3.765984329385188
5,60.16,4.788957952840341
6,85.84,5.087138344701908
7,84.52,5.45671652289619
8,80.4,5.505160405803378
9,10.0,0.6402252295542237
10,75.21,3.904410605251195
11,84.45,5.2991202898964875
12,86.59,5.4602311762668965
13,83.15,5.038398008111342
14,76.49,4.034996425204144
15,60.39,3.413800426054583
16,80.21,5.41720129684507
17,57.21,2.9813049550244957
18,79.64,5.47878109888705
19,75.07,4.8377544681941504
20,77.11,5.880045429450666
21,67.12,3.330244945814915
22,83.06,5.591208260588968
23,86.1,5.477167866262777
24,60.59,4.75383088552566
25,75.0,5.71556574712415
26,84.53,4.82300224355694
27,84.22,4.9188337181957005
28,71.85,3.5321691650650524
29,80.14,5.018329106036975
30,79.25,5.062854189839527
31,84.12,5.821941851782332
32,78.03,5.94952983875747
33,74.8,3.6628235558119435
34,60.25,3.208845278923746
35,85.67,5.428368457588364
36,78.78,5.779241347137941
37,82.18,5.3475979400149996
38,71.79,3.453645868964628
39,76.56,5.46873408280597
40,80.0,4.726736663757202
41,74.77,3.7272345228353396
42,70.69,3.521452816729491
43,84.18,5.278122311738858
44,84.7,4.430253218332562
45,71.6,5.1721826749196165
46,78.53,4.536194325662565
47,82.83,5.0077596526228945
48,86.37,5.44212746428406
49,84.19,5.374788027295897
50,85.56,5.4737388336946715
51,79.46,4.8849131161691695
52,53.96,3.3206676840068443
53,62.37,3.222295836879609
54,79.28,5.1339470826757125
55,79.64,5.70883329600746
56,76.19,4.927159695998421
57,82.43,5.797574970193837
58,77.98,5.8288867937780315
59,85.05,5.147250820169471
60,82.51,5.267827925810843
61,53.51,3.24483871877954
62,79.1,5.123624637761475
63,84.05,4.914992241009201
64,61.44,3.163950770478256
65,84.24,5.991081293234431
66,84.66,5.672200910416075
67,84.43,5.539186025748458
68,64.3,3.3479836665065563
69,84.55,5.073201985012303
70,75.58,3.8362653621369502
71,80.21,5.613439778272604
72,78.8,4.976766142042396
73,75.94,5.151278490049582
74,83.08,5.641676471258215
75,78.8,4.93245538728186
76,54.43,3.390304546954795
77,86.51,5.480994601841628
78,70.61,3.7613353239786482
79,86.84,5.419183131532207
80,76.46,4.011781296759281
81,83.1,5.2928772592286775
82,74.68,3.611842553885522
83,80.83,4.84726338464135
84,85.71,5.421840248980605
85,61.8,3.1249834904285136
86,44.5,3.058786614097379
87,73.05,3.7841068698324936
88,79.58,4.855756722073761
89,79.79,5.520636194928251
90,83.09,5.3435435089423295
91,68.85,3.557957780213971
92,72.55,5.5092640133228885
93,77.28,5.840380108923307
94,78.21,5.807578537650644
95,87.26,5.616107439137392
96,78.69,4.801579371044941
97,85.17,5.56555206173614
98,76.4,4.908545940589954
99,88.01,5.7944061110417024
100,87.13,5.9617520737785865
101,79.82,5.519924339646085
102,77.45,4.945837094290104
103,78.46,5.599782949631858
104,77.66,4.711401941835021
105,86.73,5.46208343854992
106,61.71,3.109871804978824
107,84.09,5.061276405597141
108,88.28,5.854437506517697
109,83.52,5.052076981010164
110,78.51,4.6996336219048525
111,79.86,4.6650993131685
112,85.95,5.432957517208206
113,84.67,5.042014967485663
114,68.16,3.4887572761393204
115,73.12,4.928655070622783
116,82.93,5.316866152733794
117,78.69,4.721749310266665
118,82.39,5.765215224348525
119,78.91,5.485000761199734
120,85.24,5.302434756417191
121,78.23,5.376652123900185
122,83.25,4.955085561056117
123,86.12,5.626241958205083
124,84.77,5.047490758826855
125,80.68,5.20917829089528
126,83.71,5.436377077156289
127,84.78,5.428380481718094
128,82.61,5.463210249570739
129,82.52,5.505032655127168
130,84.61,5.626608884114652
131,87.19,5.341929767185637
132,59.86,3.34909520201805
133,78.84,5.576765459312435
134,84.62,4.780583897671977
135,10.0,0.6403253243303523
136,70.47,3.6955826749883003
137,60.3,3.1757426698177054
138,62.08,5.559938401881809
139,82.64,6.013456578534418
140,84.34,5.677933167748287
141,86.1,5.479235576770325
142,77.49,5.420437138471982
143,81.37,5.498315061974042
144,81.61,5.625290317437501
145,80.71,5.546459328334587
146,79.42,5.822120654832931
147,85.14,5.872753452270767
148,76.21,5.650240416530967
149,85.62,5.468380638754966
150,84.01,5.166575425979301
151,85.24,5.318214876481285
152,81.94,5.29064804273671
153,85.35,5.227960211031798
154,80.75,5.379122180910073
155,79.28,5.833968657701642
156,63.45,3.393465456734637
157,60.79,3.337447096653845
158,74.73,5.36548522226375
159,77.83,5.727537601909142
160,75.52,5.643581571399003
161,87.5,5.595282635345947
162,54.05,3.2402904593363635
163,71.63,3.75670149285232
164,77.01,5.843970698370876
165,84.93,5.02779717125521
166,85.24,5.63893142736871
167,77.01,5.729680598192637
168,80.4,5.456217662591244
169,84.73,5.64745399746878
170,60.16,4.7447823341909645
171,81.19,5.534415797752107
172,88.5,5.793058168736413
173,60.67,4.6845604878128055
174,61.81,3.1735695240199737
175,84.01,5.250462478775898
176,85.64,5.648242211586337
177,87.44,5.430583862603804
178,80.48,4.729157316459669
179,74.67,3.586349243125323
180,82.76,5.197316300710476
181,79.89,4.8086793839942175
182,85.26,5.248682194551513
183,84.82,5.7613104854737935
184,81.82,5.466069004941318
185,36.22,3.003758408955006
186,69.53,5.5681191975076905
187,60.12,4.758702082312803
188,84.37,5.071644872714056
189,83.2,4.89934766683623
190,62.08,3.220581778348993
191,73.54,4.937115314756006
192,69.03,3.4094909569147207
193,87.6,5.693918398005713
194,77.82,5.016593115262112
195,83.79,5.629956204004804
196,54.72,3.2481744115750217
197,82.8,6.168405726773317
198,79.46,4.404226479265039
199,74.35,3.504451251493919
200,87.26,5.3412723417272545
201,10.0,0.640247857704638
202,78.06,4.921035024641698
203,73.44,4.960436765209889
204,83.86,5.167849114351066
205,73.6,3.4680344172824316
206,85.68,5.178027463354055
207,59.81,4.7735803124053575
208,55.99,3.2836471229530355
209,83.58,4.770590965196536
210,75.63,5.535957049791758
211,80.87,4.529071134983325
212,75.94,5.573275330905007
213,77.64,5.713955756766879
214,75.47,4.910534694639053
215,71.2,3.7251404873095337
216,71.17,5.064385877816238
217,85.24,5.350726852296591
218,83.35,5.403708517045121
219,85.66,5.235746157783183
220,71.73,3.473663298728811
221,69.11,3.2469893193634936
