,Accuracy,Score
0,10.0,2.302585092994046
1,75.66,8.784918915354886
2,68.62,7.869822779130342
3,87.81,8.893435395641212
4,81.68,9.309618644312478
5,84.13,10.557134181681072
6,77.82,8.578348731115673
7,85.19,9.40578426882076
8,73.65,6.272351976643036
9,86.36,10.82920414701212
10,85.17,9.969481813142663
11,70.88,6.611362922686066
12,81.82,8.950136757228815
13,81.55,10.900719858637054
14,75.34,7.781875486901085
15,83.9,9.710283671189245
16,83.69,9.973875669337524
17,74.08,8.285660286733878
18,73.66,9.189141965502921
19,71.85,6.313715079300375
20,77.99,7.733668032082562
21,78.69,7.348313188593573
22,79.47,8.719261167314436
23,54.72,6.0513405090146275
24,75.94,8.275297026701882
25,80.75,9.361673248082644
26,61.0,7.792718641074059
27,72.23,6.769546659840983
28,76.45,9.5124983829621
29,82.31,7.323376271598168
30,84.15,8.98003314866706
31,83.69,11.699147113692879
32,85.41,10.082345164567416
33,79.85,12.445940093282049
34,85.17,9.684719393302066
35,82.1,9.821584592100793
36,78.72,9.04137575910415
37,84.39,9.71647451628981
38,77.18,8.723212468340883
39,75.75,8.720943766177188
40,60.12,7.593046326343684
41,83.97,8.01156893805415
42,57.51,5.8344959967703245
43,85.06,10.401862563341993
44,85.36,9.536312843648728
45,85.48,11.42706540179797
46,84.34,9.512005637907517
47,78.82,11.416515531541211
48,84.35,9.919327218092835
49,84.71,10.972555356904445
50,68.0,5.991749714006102
51,88.02,9.094357334340753
52,85.8,10.734399444950622
53,53.4,7.764375627289316
54,61.36,5.961791325956035
55,83.8,11.106129100615325
56,81.64,7.389691711941323
57,69.73,6.138675455985394
58,83.38,12.151010422467483
59,70.05,6.481300444336422
60,81.62,8.707881157827117
61,70.99,6.0900932254294124
62,84.16,10.980419233990778
63,78.77,8.827297445764716
64,76.2,6.497827010924027
65,72.97,6.065061801225907
66,84.34,9.718023847936525
67,84.57,10.172259696356805
68,68.43,6.365774319094364
69,87.15,8.70517396697951
70,75.71,6.440950084340776
71,75.32,6.643588396403778
72,81.45,9.147038316133786
73,78.51,7.146960083679683
74,88.6,9.206865476600539
75,71.03,8.835227557130256
76,71.9,6.007194954130739
77,72.29,6.2433836926650415
78,79.19,8.656431243540878
79,75.45,9.478849306187394
80,83.35,8.096387142444824
81,59.81,7.485446230951072
82,81.99,8.897390017721497
83,78.51,7.3110871980933
84,52.81,7.74791096430126
85,88.01,9.192113790318828
86,85.62,10.165603255054002
87,84.21,11.739828014163656
88,75.93,6.211873774144997
89,78.04,8.024881358782423
90,75.26,7.653331399978965
91,81.82,9.138053892420464
92,10.0,2.302585092994046
93,61.71,5.9767499350478
94,70.29,8.244951208647326
95,10.0,2.302585092994046
96,82.79,9.713253415812753
97,87.37,8.810281981869693
98,79.65,8.139416981117522
99,79.9,9.067193756117486
100,78.47,8.96527702179807
101,85.8,11.057135836894913
102,86.02,10.230248425859545
103,82.51,9.295275046108447
104,81.88,8.7053390253586
105,84.85,9.569691899159583
106,76.87,8.864255356918253
107,80.71,9.880463383777286
108,60.16,7.332266871298248
109,83.51,7.714140671025596
110,79.77,9.252117688680805
111,77.61,9.99942674452872
112,62.25,6.047784207649482
113,83.59,11.140713516791239
114,79.58,9.065507554284267
115,80.0,8.83162390081322
116,83.81,8.135523034558151
117,87.11,8.302160655991722
118,77.93,8.877647641466577
119,78.47,8.457285446129251
120,84.56,9.492164378435094
121,79.54,7.143539895231098
122,83.97,8.274098798448335
123,87.56,8.815841521316715
124,60.16,7.682218057251965
125,74.71,8.474411000207047
126,83.52,8.860369207600108
127,79.83,9.72689205501283
128,87.67,9.006170222315783
129,83.05,8.440242114362748
130,78.83,7.700364254113821
131,85.06,10.435686275413564
132,85.7,10.884216545533034
133,78.09,8.619867282416996
134,87.26,8.468634080158083
135,41.49,5.788366360570302
136,61.84,6.088959468312913
137,50.25,5.922138084150698
138,79.03,8.796499082550886
139,54.75,6.104071422641301
140,83.21,10.67327429181733
141,83.23,9.581817159503114
142,69.82,6.109942131225581
143,85.44,10.345906540149372
144,84.34,9.500443993646224
145,82.23,8.65398755989456
146,76.65,10.004203059808512
147,82.4,8.947855154565904
148,77.61,9.592357411831614
149,86.1,8.167373120366761
150,84.48,10.599640496931727
151,83.94,9.603329241747572
152,85.64,10.071153202049604
153,82.27,11.210162854505555
154,80.21,8.48346381026047
155,69.29,8.290633966478042
156,82.18,9.324433955440368
157,87.52,8.506051452537582
158,76.1,8.506116442233827
159,77.66,10.106644015166609
160,78.99,8.676804824358978
161,75.22,12.195348664723156
162,74.24,10.549616890463412
163,76.63,7.883907439908444
