,Accuracy,Score
0,10.0,0.6402920145782011
1,75.66,5.550771111624621
2,68.62,5.0370307827067
3,87.81,5.772682504109832
4,81.68,5.413221988523997
5,84.13,5.547779643972026
6,77.82,4.603333594047167
7,85.19,5.379058315148747
8,73.65,3.5590697063369165
9,86.36,5.178504028624628
10,85.17,5.6399625463282375
11,70.88,4.203996899180612
12,81.82,5.390509172922016
13,81.55,5.291666665286762
14,75.34,4.888170000828528
15,83.9,5.474902189008121
16,83.69,5.088386683205539
17,74.08,5.39167649031639
18,73.66,5.461645698022061
19,71.85,3.9397638646579143
20,77.99,4.932017653221186
21,78.69,4.586388731444097
22,79.47,4.716694978253929
23,54.72,3.245372136543511
24,75.94,5.595762431643508
25,80.75,5.559633399291319
26,61.0,4.581134258585978
27,72.23,3.5832821827636656
28,76.45,5.523953251467339
29,82.31,4.782469884708255
30,84.15,5.89225615896544
31,83.69,5.40186593655113
32,85.41,5.61568139102099
33,79.85,4.45176510942038
34,85.17,5.692368176725267
35,82.1,5.83700825949457
36,78.72,5.478253860083003
37,84.39,5.241741200415784
38,77.18,5.696276314561362
39,75.75,5.613192843156281
40,60.12,4.654186007142347
41,83.97,5.43210408881751
42,57.51,2.972955236991726
43,85.06,5.004776469026166
44,85.36,5.313631781764393
45,85.48,5.062444433667876
46,84.34,5.5386543209542385
47,78.82,4.89886077363781
48,84.35,5.629470244520611
49,84.71,4.9735123487408215
50,68.0,3.5677076366075497
51,88.02,5.796896370292609
52,85.8,5.250939621878626
53,53.4,4.6565080034091855
54,61.36,3.15369672759751
55,83.8,5.380998631150878
56,81.64,4.7194040271396025
57,69.73,3.3656286779591613
58,83.38,5.41872694560577
59,70.05,3.8604702510267255
60,81.62,5.670419564263697
61,70.99,3.570007252222358
62,84.16,5.290145559083773
63,78.77,5.640628482482172
64,76.2,3.921985537337528
65,72.97,3.6196490231487553
66,84.34,5.435659867116645
67,84.57,4.896433902440029
68,68.43,3.370504828136077
69,87.15,5.75934507674955
70,75.71,3.790673178983007
71,75.32,4.0486113039387135
72,81.45,5.515635938414352
73,78.51,4.633031406739599
74,88.6,5.8914827738022835
75,71.03,4.657220069844946
76,71.9,3.2777906741670773
77,72.29,3.537157330309705
78,79.19,4.965078383259458
79,75.45,5.764566827827042
80,83.35,5.184671659619582
81,59.81,4.837551848206026
82,81.99,5.424156342186229
83,78.51,4.663631725167023
84,52.81,4.691256029294827
85,88.01,5.641035825738414
86,85.62,5.407893046744752
87,84.21,5.416659782710039
88,75.93,3.4048784896173223
89,78.04,4.845653121462624
90,75.26,4.912993999603325
91,81.82,5.2447354941854245
92,10.0,0.6402735464997499
93,61.71,3.258895182026098
94,70.29,5.521155061197566
95,10.0,0.6402361830217881
96,82.79,5.583844101991753
97,87.37,5.532284300909575
98,79.65,4.6100628589554
99,79.9,3.988302677607436
100,78.47,5.56885516199165
101,85.8,5.417388289404674
102,86.02,5.466770365760729
103,82.51,5.889771347903228
104,81.88,5.3605939126907565
105,84.85,5.324159037995028
106,76.87,5.804621487246574
107,80.71,5.356974569366142
108,60.16,4.650270190843768
109,83.51,5.237580780897529
110,79.77,5.90819868243507
111,77.61,5.911670091008829
112,62.25,3.211758657073466
113,83.59,5.1589961576765875
114,79.58,4.593137450003221
115,80.0,4.753774168066414
116,83.81,5.3624483094249005
117,87.11,5.621183172449416
